label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Trash,390,685,111,35,image_20250419_154116.jpg,1280,720
Trash,902,699,126,21,image_20250419_154116.jpg,1280,720
Trash,390,684,113,36,image_20250419_154122.jpg,1280,720
Trash,901,701,123,18,image_20250419_154122.jpg,1280,720
Trash,390,687,116,32,image_20250419_154127.jpg,1280,720
Trash,902,701,125,19,image_20250419_154127.jpg,1280,720
Trash,389,687,117,33,image_20250419_154132.jpg,1280,720
Trash,908,701,123,19,image_20250419_154132.jpg,1280,720
Trash,390,688,110,32,image_20250419_154137.jpg,1280,720
Trash,904,702,123,18,image_20250419_154137.jpg,1280,720
Trash,394,687,110,32,image_20250419_154142.jpg,1280,720
Trash,903,704,120,16,image_20250419_154142.jpg,1280,720
Trash,393,688,110,32,image_20250419_154147.jpg,1280,720
Trash,902,702,126,18,image_20250419_154147.jpg,1280,720
Trash,395,688,111,30,image_20250419_154152.jpg,1280,720
Trash,905,702,125,18,image_20250419_154152.jpg,1280,720
Trash,395,690,110,29,image_20250419_154157.jpg,1280,720
Trash,904,705,123,15,image_20250419_154157.jpg,1280,720
Trash,392,691,111,29,image_20250419_154202.jpg,1280,720
Trash,902,704,124,16,image_20250419_154202.jpg,1280,720
Trash,390,690,116,30,image_20250419_154207.jpg,1280,720
Trash,901,702,130,18,image_20250419_154207.jpg,1280,720
Trash,390,688,114,32,image_20250419_154212.jpg,1280,720
Trash,905,704,123,16,image_20250419_154212.jpg,1280,720
Trash,393,688,107,32,image_20250419_154217.jpg,1280,720
Trash,905,705,120,15,image_20250419_154217.jpg,1280,720
Trash,457,676,53,44,image_20250419_154222.jpg,1280,720
Trash,904,707,122,13,image_20250419_154222.jpg,1280,720
Trash,615,442,116,65,image_20250419_154227.jpg,1280,720
Trash,348,405,90,56,image_20250419_154232.jpg,1280,720
Trash,620,441,111,69,image_20250419_154232.jpg,1280,720
Trash,860,424,111,52,image_20250419_154232.jpg,1280,720
Trash,349,408,90,55,image_20250419_154237.jpg,1280,720
Trash,616,440,119,69,image_20250419_154237.jpg,1280,720
Trash,863,425,111,52,image_20250419_154237.jpg,1280,720
Trash,349,406,90,56,image_20250419_154242.jpg,1280,720
Trash,617,442,118,67,image_20250419_154242.jpg,1280,720
Trash,864,428,112,50,image_20250419_154242.jpg,1280,720
Trash,350,406,87,56,image_20250419_154247.jpg,1280,720
Trash,616,441,117,67,image_20250419_154247.jpg,1280,720
Trash,862,425,110,52,image_20250419_154247.jpg,1280,720
Trash,351,408,85,52,image_20250419_154252.jpg,1280,720
